ABBV,ABT,ADM,ADP,AFL,ALB,AOS,APD,ATO,BDX,BEN,BFB,BRO,CAH,CAT,CB,CHD,CHRW,CINF,CL,CLX,CVX,DOV,Date,ECL,ED,EMR,ESS,EXPD,FRT,GD,GPC,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LEG,LIN,LOW,MCD,MDT,MKC,MMM,NDSN,NEE,NUE,O,PEP,PG,PNR,PPG,ROP,SHW,SJM,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
0.0,0.0,0.24,0.0,0.185,0.0,0.075,0.0,0.37,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,1.0,0.0,2014-02,0.0,0.63,0.43,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.908222,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.855,0.18,0.18125,0.0,0.176357,0.0,0.0,0.0,0.305,0.0,0.183333,0.58,0.3,0.0,0.0,0.43,0.0,0.0,0.0,0.63
0.0,0.0,0.0,0.421422,0.0,0.275,0.0,0.712303,0.0,0.531707,0.12,0.116,0.0,0.303,0.0,0.63,0.0,0.35,0.44,0.0,0.0,0.0,0.302908,2014-03,0.275,0.0,0.0,1.21,0.0,0.78,0.0,0.575,0.0,0.0,0.0,0.42,0.0,0.805369,0.305,0.3,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.176357,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.44,0.16,0.0,0.0
0.42,0.22,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.36,0.71,0.0,0.0,2014-04,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.28,0.185,0.0,0.0,0.0,0.0,0.176357,0.0,0.644,0.167898,0.0,0.2,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.1,0.0
0.0,0.0,0.24,0.0,0.185,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,1.07,0.302908,2014-05,0.0,0.63,0.43,0.0,0.32,0.0,0.0,0.0,1.08,0.0,1.051625,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.855,0.18,0.18125,0.0,0.176357,0.0,0.0,0.0,0.335,0.0,0.183333,0.58,0.3,0.0,0.0,0.43,0.0,0.16,0.0,0.69
0.0,0.0,0.0,0.421422,0.0,0.275,0.0,0.712303,0.0,0.531707,0.12,0.116,0.0,0.343,0.0,0.0,0.0,0.35,0.44,0.0,0.0,0.0,0.0,2014-06,0.275,0.0,0.0,1.3,0.0,0.78,0.0,0.575,0.0,0.0,0.0,0.42,0.0,0.805369,0.305,0.3,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.177326,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.44,0.0,0.0,0.0
0.42,0.22,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.65,0.0,0.0,0.0,0.36,0.74,0.0,0.0,2014-07,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.305,0.185,0.0,0.0,0.0,0.0,0.177326,0.0,0.644,0.201478,0.0,0.2,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.1,0.0
0.0,0.0,0.24,0.0,0.185,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,1.07,0.323102,2014-08,0.0,0.63,0.43,0.0,0.0,0.0,0.0,0.0,1.08,0.0,1.051625,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.855,0.22,0.18125,0.0,0.177326,0.0,0.0,0.0,0.335,0.0,0.183333,0.64,0.3,0.0,0.0,0.52,0.0,0.16,0.0,0.69
0.0,0.0,0.0,0.421422,0.0,0.275,0.0,0.712303,0.0,0.531707,0.12,0.116,0.0,0.343,0.0,0.65,0.0,0.35,0.44,0.0,0.0,0.0,0.0,2014-09,0.275,0.0,0.0,1.3,0.0,0.87,0.0,0.575,0.0,0.0,0.0,0.485,0.0,0.805369,0.305,0.31,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.177326,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.44,0.0,0.0,0.0
0.42,0.22,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.7,0.0,0.0,0.0,0.0,0.36,0.74,0.0,0.0,2014-10,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.305,0.185,0.0,0.0,0.0,0.0,0.177326,0.0,0.644,0.201478,0.0,0.2,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.11,0.0
0.0,0.0,0.24,0.0,0.195,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,1.07,0.323102,2014-11,0.0,0.63,0.47,0.0,0.32,0.0,0.0,0.0,1.08,0.0,1.051625,0.0,0.7,0.0,0.305,0.0,0.0,0.0,0.85,0.0,0.0,0.855,0.0,0.18125,0.0,0.177326,0.0,0.0,0.0,0.335,0.0,0.183333,0.64,0.3,0.0,0.0,0.52,0.0,0.0,0.0,0.69
0.0,0.0,0.0,0.49,0.0,0.275,0.0,0.712303,0.0,0.585366,0.135,0.126,0.0,0.343,0.0,0.65,0.0,0.38,0.44,0.0,0.0,0.0,0.0,2014-12,0.33,0.0,0.0,1.3,0.0,0.87,0.0,0.575,0.0,0.0,0.0,0.485,0.0,0.84,0.0,0.31,0.65,0.0,0.0,0.305,0.2,0.0,0.22,0.0,0.372,0.177326,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.3,0.0,0.44,0.16,0.0,0.0
0.49,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.36,0.74,0.0,0.0,2015-01,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18314,0.0,0.644,0.214909,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
0.0,0.0,0.28,0.0,0.195,0.0,0.095,0.0,0.39,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.1675,0.0,0.0,0.0,0.0,1.07,0.323102,2015-02,0.0,0.65,0.47,0.0,0.0,0.0,0.0,0.0,1.08,0.0,1.051625,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,1.025,0.22,0.1925,0.0,0.18314,0.0,0.0,0.0,0.335,0.0,0.223333,0.64,0.33,0.0,0.0,0.52,0.0,0.0,0.0,0.69
0.0,0.0,0.0,0.49,0.0,0.29,0.0,0.749306,0.0,0.585366,0.15,0.126,0.0,0.343,0.0,0.65,0.0,0.38,0.46,0.0,0.0,0.0,0.0,2015-03,0.33,0.0,0.0,1.44,0.0,0.87,0.0,0.615,0.0,0.0,0.0,0.485,0.0,0.88,0.33,0.31,0.715,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.372,0.184109,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.3,0.0,0.52,0.163333,0.0,0.0
0.51,0.24,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.7,0.0,0.0,0.0,0.0,0.38,0.74,0.0,0.0,2015-04,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.184109,0.0,0.663,0.214909,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
0.0,0.0,0.28,0.0,0.195,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675,0.0,0.0,0.0,0.0,1.07,0.323102,2015-05,0.0,0.65,0.47,0.0,0.36,0.0,0.0,0.0,1.17,0.0,1.24283,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,1.025,0.22,0.1925,0.0,0.184109,0.0,0.0,0.0,0.36,0.0,0.223333,0.64,0.33,0.0,0.0,0.52,0.0,0.163333,0.0,0.73
0.0,0.0,0.0,0.49,0.0,0.29,0.0,0.749306,0.0,0.585366,0.15,0.126,0.0,0.387,0.0,0.67,0.0,0.38,0.46,0.0,0.0,0.0,0.0,2015-06,0.33,0.0,0.0,1.44,0.0,0.87,0.69,0.615,0.0,0.0,0.0,0.485,0.0,0.88,0.33,0.31,0.715,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.373,0.184109,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.3,0.0,0.52,0.0,0.0,0.0
0.51,0.24,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.38,0.77,0.0,0.0,2015-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.184109,0.0,0.663,0.214909,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
0.0,0.0,0.28,0.0,0.195,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.1675,0.0,0.0,0.0,0.0,1.07,0.339257,2015-08,0.0,0.65,0.47,0.0,0.0,0.0,0.0,0.0,1.17,0.0,1.24283,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,1.025,0.24,0.1925,0.0,0.184109,0.0,0.0,0.0,0.36,0.0,0.223333,0.67,0.33,0.0,0.0,0.56,0.0,0.163333,0.0,0.73
0.0,0.0,0.0,0.49,0.0,0.29,0.0,0.749306,0.0,0.585366,0.15,0.126,0.0,0.387,0.0,0.67,0.0,0.38,0.46,0.0,0.0,0.0,0.0,2015-09,0.33,0.0,0.0,1.44,0.0,0.94,0.0,0.615,0.0,0.0,0.0,0.55,0.0,0.88,0.33,0.32,0.715,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.373,0.185078,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.3,0.0,0.52,0.0,0.0,0.0
0.51,0.24,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.38,0.77,0.0,0.0,2015-10,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.185078,0.0,0.663,0.214909,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
0.0,0.0,0.28,0.0,0.205,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0615,0.0,0.0,0.0,0.1675,0.0,0.0,0.0,0.0,1.07,0.339257,2015-11,0.0,0.65,0.475,0.0,0.36,0.0,0.0,0.0,1.17,0.0,1.24283,0.0,0.75,0.0,0.33,0.0,0.0,0.0,0.89,0.0,0.0,1.025,0.0,0.1925,0.0,0.185078,0.0,0.0,0.0,0.36,0.0,0.223333,0.67,0.33,0.0,0.0,0.56,0.0,0.0,0.0,0.73
0.0,0.0,0.0,0.53,0.0,0.29,0.0,0.749306,0.0,0.643902,0.18,0.136,0.0,0.387,0.0,0.67,0.0,0.43,0.92,0.0,0.0,0.0,0.0,2015-12,0.35,0.0,0.0,1.44,0.0,0.94,0.0,0.615,0.0,0.0,0.0,0.55,0.0,0.88,0.0,0.32,0.715,0.0,0.0,0.38,0.215,0.0,0.24,0.0,0.375,0.185078,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.52,0.163333,0.0,0.0
0.57,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.38,0.77,0.0,0.0,2016-01,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192829,0.0,0.663,0.221625,0.0,0.3,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.12,0.0
0.0,0.0,0.3,0.0,0.205,0.0,0.12,0.0,0.42,0.0,0.0,0.0,0.0615,0.0,0.0,0.0,0.1775,0.0,0.0,0.0,0.0,1.07,0.339257,2016-02,0.0,0.67,0.475,0.0,0.0,0.0,0.0,0.0,1.17,0.0,1.24283,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,1.11,0.24,0.2175,0.0,0.192829,0.0,0.0,0.0,0.36,0.0,0.28,0.67,0.36,0.55,0.0,0.56,0.0,0.0,0.0,0.73
0.0,0.0,0.0,0.53,0.0,0.305,0.0,0.79556,0.0,0.643902,0.18,0.136,0.0,0.387,0.0,0.67,0.0,0.43,0.48,0.0,0.0,0.0,0.0,2016-03,0.35,0.0,0.0,1.6,0.0,0.94,0.0,0.658,0.0,0.0,0.0,0.55,0.0,0.92,0.35,0.32,0.75,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.375,0.192829,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.54,0.166667,0.0,0.0
0.57,0.26,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.39,0.77,0.0,0.0,2016-04,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.215,0.0,0.0,0.0,0.0,0.192829,0.0,0.67,0.221625,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
0.0,0.0,0.3,0.0,0.205,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0615,0.0,0.0,0.0,0.1775,0.0,0.0,0.0,0.0,1.07,0.339257,2016-05,0.0,0.67,0.475,0.0,0.4,0.0,0.0,0.0,1.22,0.0,1.338432,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.24,0.2175,0.0,0.192829,0.0,0.0,0.0,0.4,0.0,0.28,0.67,0.36,0.55,0.0,0.56,0.0,0.166667,0.0,0.75
